name,label
DOWNLOADS,T
DOZENS,M
DRAIN,G
DRIED,M
DRILL,G
DRILLS,G
DUCK,M
DUMPLING,M
DURIAN,M
ECO SHOP,G
ECONOMY RICE,M
ECONSAVE,G
EGG,M
EGG,G
EGGPLANT,G
ELECTRIC,A
ELECTRICAL,G
ELECTRICITY,A
E-MART,G
ERASER,G
ERASERS,G
ESIM,T
ESPRESSO,M
ESSO,P
ETS,F
ETV,T
EVERRISE,G
EVERWIN,G
EXPEDIA,A
EXPRESS,F
EXPRESSWAY,F
EXPRESSWAYS,F
EXTEND,G
EXTENDS,G
EXTENSION,G
EZ SMART PARK,F
EZCAB,F
FACE,G
FACE MASK,G
FAJAR,G
FAMILY MART,G
FAMILYMART,G
FARLEY,G
FARM,M
FARM,G
FARM,A
FARMERS,M
FARMHOUSE,M
FARMING,M
FARMS,M
FARMS,G
FAT,M
FAT-FREE,M
FAT-REDUCED,M
FATS,M
FATTRANS,M
FATTY,M
FAVORITE,M
FAVORITES,M
FAVOURING,M
FERMENTED CREPE,M
FERMETED MEAT,M
FERRIES,F
FERRY,F
FIBER,M
FIBRE,T
FILE,G
FILES,G
FILLETS,M
FINGERS,M
FIREFLY,F
FISH,M
FISH BALL,M
FIVE,P
FLATBREAD,M
FLAVOR,M
FLAVORS,M
FLAVOUS,M
FLEXI PARKING,F
FLOUR,G
FOLDER,G
FOLDERS,G
FOOD,M
FOODS,M
FRAGMENTS,M
FRAGRANCE,M
FRAGRANCES,M
FRAGRANT,M
FREEZE,M
FRENCH,M
FRESCO,G
FRESH,M
FRESH,G
FRESH AND CONVENIENT STORE,G
FRESHENS,M
FRESHEST,M
FRESHLY,M
FRESHS,G
FRESH-STYLE,M
FRIED,M
FRIED EGG,M
FRIED ,M
FRIES,M
FRUIT,M
GALLERY,G
GAMA,G
GARDEN,G
GARLIC,G
GAS,P
GB,T
GCH RETAIL,G
GEORGETOWN PHARMACY,G
GIANT HYPERMARKET,G
GINGER,M
GINGER,G
GINGERBREAD,M
GINNYBAKES,M
GINSENG,M
GINSENG,G
GLAMPING,A
GLAZE,M
GLAZED,M
GLAZES,M
GLAZING,M
GMART,G
GOLDEN,M
GOOGLE,T
GORENG,M
GRAB,F
GRAPE,G
GRAPEFRUIT,G
GRAPES,G
GREEN,M
GREEN BEAN PORRIDGE,M
GREW,M
GRILLED,M
GROCER,G
GROUND,M
GROUNDNUTS,M
GROUNDNUTS,G
GUARDIAN,G
GUEST,A
GULAI,M
H&L SUPERMARKET,G
HAILAM,M
HAINANESE,M
HALIA,M
HAM,G
HAMBURGER,M
HAMS,G
HAND SANITIZER,G
HAND WIPES,G
HANDWASH,G
HAPPYFRESH,G
HARD-BOILED EGGS,M
HAZELNTUT,M
HAZELNUT,M
HAZELNUTS,M
HEALTH,G
HEALTH LANE FAMILY PHARMACY,G
HERB,M
HERBAL,M
HERBS,M
HERBS,G
HERO MARKET,G
HIGHLIGHT,G
HIGHLIGHTS,G
HOKKIEN,M
HOMESTAY,A
HOMESTAYS,A
HORLICK,G
HOSE,G
HOSES,G
HOSTEL,A
HOSTELS,A
HOT,M
HOTEL,A
HOTELS,A
HOTLINK,T
HOUSE,A
HOUSEHOLD,G
HOUSES,A
HWA THAI,G
HYPERMARKET,G
HYPERMART,G
ICE,M
ICE LEMON TEA,M
ICEBERG,M
ICE-BREWED,M
ICED,M
IDD,T
INTERCITY,F
INTERNET,T
IP,T
ISETAN,G
JALA,M
JAM,G
JANDA PULANG,M
JASON'S FOOD HALL,G
JAYA GROCER,G
JAYA SUPERMARKET,G
JAYA SUPERMART,G
JELLY,M
JEMPUT-JEMPUT,M
JOMPARKING,F
JOMRIDES,F
JUICE,M
JUICES,M
JUN RONG,G
KACANG,M
KAMBING,M
KAPITAN GROCER,G
KARI,M
KAYA,M
KECAP,M
KEK,M
KEPALA,M
KERNEL,M
KERNELS,M
KEROPOK,M
KEROPOK LEKOR,M
KETCHUP,G
KETUPAT,M
KFC,M
KINILAW,M
KIP MART,G
KIWI,G
KIWIFRUIT,G
KK FRESHMART,G
KK MART,G
KK SUPER MART,G
KLIA EXPRESS,F
KNIFE,G
KOLOK,M
KR1M,G
KRILL,M
KRISANTIMUM,M
KWAY TEOW,M
KWH,A
LAKSA,M
LAKSA,M
LAMB,M
LAMP,G
LAMPS,G
LAVA,M
LAYANG LAYANG AEROSPACE,F
LAYER,M
LEMAK,M
LEMANG,M
LEMON,G
LEMON JUICE CONCENTRATE,M
LEMONADE,M
LEMONGRASS,G
LEMONGRESS,M
LEMONHEADS,M
LEMONS,M
LEN SENG,F
LETTUCE,G
LETTUCES,G
LIGHT,G
LIGHT RAIL,F
LIGHTS,G
LIME,G
LINE,T
LINES,T
LION AIR,F
LITER,A
LOR MEE,M
LOVELETTERS,G
LRT,F
LTE,T
LULU HYPERMARKET,G
LUXURY,A
MACRO LYNX,T
MAGGI,M
MAIZE,G
MAKRO,G
MALAYSIA AIRLINES,F
MALINDO,F
MALINDO AIR,F
MANGO,M
MANGO STICKY RICE,M
MANGOSTEEN,G
MARKER,G
MARKERS,G
MARKET,G
MARKO,G
MAS AIRLINE,F
MASKARGO,F
MASLEE,G
MASWINGS,F
MAXIS,T
MAXIS BERHAD,T
MB,T
MCDONALD,M
MCFLURRYOREOS,M
MEAL,M
MEASAT SATELLITE SYSTEMS,T
MEAT,M
MEATBALL,M
MEATBALLS,M
MEATLOAF,M
MEDAN DEPARTMENT STORE AND SUPERMARKET,G
MEE POK,M
MEE REBUS,M
MEE SIAM,M
MEE SIPUT,M
MEGA 99 SUPERSTORE,G
MERCATO,G
MERCHANTRADE ASIA,T
MHS AVIATION,F
MI,M
MIDAS MART,G
MILK,M
MILO,M
MINIMARKET,G
MINIMART,G
MINT,G
MINTS,G
MINUTE,M
MMS,T
MOBIL,P
MOBILE,T
MONORAIL,F
MONORAILS,F
MOTEL,A
MOTELS,A
MPBS,T
MR DIY,G
MRT,F
MUFFIN,M
MUFFINS,M
MULA,F
MULTICARE PHARMACY,G
MULTIMEDIA,T
MULTIPURPOSE,G
MULTIPURPOSES,G
MURTABAK,M
MUSHROOM,G
MUSHROOMS,G
MUTTON,M
MY JET XPRESS AIRLINES,F
MYCAR,F
MYDIN,G
MYDIN BAZAAR,G
MYDIN MART,G
MYISP DOT COM,T
MYMART,G
MYMCASH,F
MYMYDIN,G
MYNEWS,G
MYNEWS.COM,G
NAAN,M
NADI PUTRA,F
NASI,M
NASI AMBENG,M
NASI DAGANG,M
NASI GORENG PATTAYA,M
NASI HUJAN PANAS,M
NASI ITIK,M
NASI KANDAR,M
NASI KEBULI,M
NASI KERABU,M
NASI KUNING,M
NASI LEMAK,M
NASI MINYAK,M
NASI PAPRIK,M
NASI TOMATO,M
NASI TUMPANG,M
NASI ULAM,M
NATURE,M
NAUTRAL,M
NAVAL,M
NAVEL,M
NESCAFE,G
NESCAFE GOLD,G
NESTLE,G
NESTUM,G
NETWORK,T
NEW WORLD MART,G
NEWS PLUS,G
NOODLE,M
NOODLES,M
NOTE,G
NOTEBOOK,G
NOTEBOOKS,G
NOTES,G
NSK TRADE,G
NUT,M
NUTS,M
NYONYA,M
OAT,G
OATCAKES,G
OATFLOUR,G
OATMEAL,G
OATS,G
OCEAN CAPITAL,G
OIL,G
OLDTOWN,G
OMELETTE,M
OMNIBUS,F
ONG TAI KIM,G
ONION,G
ONLINE,T
OOLONG,G
ORANGE,M
ORANGES,M
OREO,M
OREO,G
ORGANIC4U,G
OTAK-OTAK,M
OYSTER,M
OYSTER ,M
OYSTERS,M
PALM,G
PALM-OIL,G
PAN MEE,M
PANCAKE,M
PANCAKES,M
PANDAN,M
PANDAN CAKE,M
PANSUH,M
PANTAI TIMOR,G
PANTRY,G
PAPAYA,M
PAPAYAS,M
PAPER,G
PARATRANSIT,F
PARK,F
PARKING,F
PARKSON,G
PASAR RAYA,G
PASAR RAYA BORONG MATAHARI,G
PASARAYA,G
PASARAYA CS,G
PASARAYA ENG HONG,G
PASARAYA PKT,G
PASEMBUR,M
PASSION,M
PASSION FRUIT,M
PASTA,M
PASTE CHILLI,G
PATIN,M
PAVO COMMUNICATIONS,T
PEACH,M
PEACHES,M
PEAK,M
PEANS,M
PEANU,M
PEANUT,M
PEANUTES,M
PEANUTS,M
PEDAS,M
PEKASAM,M
PEN,G
PENCIL,G
PENCILS,G
PENS,G
PEPPER,G
PEPPERS,G
PERCIK,M
PETROL,P
PETRON,P
PETRONAS,P
PHARMACY,G
PHONE,T
PICKNGO,F
PINDANG,M
PINEAPPLE,M
PINEAPPLES,M
PIPE,G
PIPES,G
PISANG GORENG,M
PIZZA,M
PLAY,T
PLUG,G
PLUG,T
PLUGS,G
POPCORN,M
POPIAH,M
POPULAR,G
PORK,M
PORK RIBS,G
PORRIDGE,M
POSTPAID,T
POTATO,G
POTBOY,G
POWDER,G
PR1MA,T
PRAWN,M
PRAWNS,M
PREPAID,T
PRESTO,G
PRESTO GROCER,G
PRINT,G
PROPERTY,A
PUDDING,M
PUDDINGS,M
PUDING DIRAJA,M
PUFF,M
PULUT,M
PUTU MAYAM,M
QUINOA,M
RAISIN,G
RAISINS,G
RAPID,F
RAPIDKL,F
RAPIDPENANG,F
RASPBERRIES,G
RASPBERRY,G
RAYA AIRLINES,F
REACH TEN,T
REDONE NETWORK,T
REDTICK,G
REDTONE,T
REMPEYEK,M
RENDANG,M
RENT,A
RENTS,A
RESIDENCE,A
RESORT,A
RESORTS,A
RESTAURANT,M
RESTAURANTS,M
RIAD,A
RIADS,A
RICE,M
RICES,M
RIDING PINK,F
ROAMING,T
ROAST,M
ROASTED,M
ROASTER,M
ROASTS,M
ROJAK,M
ROLL,M
RON,P
RON100,P
RON95,P
RON97,P
ROTI,M
ROTI CANAI,M
ROTI JOHN,M
ROUTER,T
RULER,G
RULERS,G
RYOKAN,A
RYOKANS,A
SABAH AIR,F
SABAH ELECTRICITY,A
SABASUN HYPERUNCIT,G
SACOFA,T
SAIKIM,G
SALAD,M
SALAMKU,G
SALT,G
SALTED,M
SAMBAL,M
SAM'S GROCERIA,G
SANDWICH,M
SARAWAK ENERGY,A
SATA,M
SATAY,M
SATELLITE,T
SAUCE,G
SAUSAGE,M
SCISSORS,G
SEAFOOD,M
SEA-SALT,G
SEAWEED,G
SEAWEEDS,G
SEED,G
SEEDLESS,M
SEGI FRESH,G
SEJADI,G
SERUNDING,M
SERVAY HYPERMARKET,G
SERVICED APARTMENT,A
SETEL,P
SETIA HARUMAN TECHNOLOGY,T
SHALLOT,G
SHALLOTS,G
SHAMPOO,G
SHELL,P
SHOP,G
SHOPS,G
SHOWER,G
SHRIMPS,M
SIM,T
SINALAU BAKAS,M
SING KWONG,G
SKM MARKET,G
SLICE,M
SLICED,M
SMART SELANGOR,F
SMOKE,M
SMOKED,M
SMOKED WILD BOAR,M
SMS,T
SNACK,M
SNACK,M
SOGO,G
SONGMART,G
SOTO,M
SOUP,M
SOYA,M
SOYA SAUCE,G
SOYABEAN,M
SOYBEAN,M
SOYBEANS,M
SOYMILK,M
SPAETZLE,M
SPAGHETTI,M
SPICE,M
SPICED,M
SPICES,M
SPICES,G
SPICY,M
SPRAY,M
SPRAYED,M
SPRING ROLL,M
SPROUTS,M
SQUID,M
SQUIDS,M
SRI TERNAK FOOD MART,G
SRI TERNAK GROUP,G
SRI TERNAK MART (SK),G
ST ROSYAM MART,G
STAPLER,G
STAPLERS,G
STARBUCKS,M
STARTER,M
STATIONARY,G
STAY,A
STAYS,A
STEAMED,M
STICKER,G
STICKERS,G
STICKY,G
STIR,M
STIR-FRY,M
STORE,G
STORES,G
STRAWBERRIES,G
STRAWBERRY,G
STREAM,T
STREETCAR,F
STREETCARS,F
STUFF,M
SUBCRIPTION,T
SUBWAY,F
SUBWAYS,F
SUGAR,M
SUGAR,G
SUGARCANE,G
SUGAR-FREE,M
SUGARS,G
SUNSHINE,G
SUNWAY DIGITAL WAVE,T
SUP,M
SUPERMARKET,G
SUPERMART,G
SUSHI,M
SUSU,M
SUTERA,F
SWEET,M
SWEETCORN,M
SWEETEN,M
SWEETENED,M
SWEETENER,M
SWEETENERS,M
SWEETENING,M
SWEETEST,M
SWEETHEARTS,M
SWEETLEAF,M
SWEETNER,M
SWEETNERS,M
SWEETNESS,M
SWEETS,M
SYABAS,A
SYRUP,M
SYRUPS,M
TA KIONG,G
TACO,M
TANDOOR,M
TANDORI,M
TAPAI,M
TAPE,G
TAPES,G
TARGET SUPERMARKET,G
TARO,M
TASTE,M
TASTED,M
TASTES,M
TAU POK,M
TAXI,F
TEA,M
TEAPOT,M
TEASPOON,G
TEH,M
TEKSI,F
TELEKOM,T
TELEKOM MALAYSIA,T
TELEKOMUNIKASI INDONESIA,T
TELEPHONE,T
TELIN,T
TELUR ,M
TEMPOYAK ,M
TENDER,M
TENT,A
TENTS,A
TEOW SOON HUAT,G
TESCO,G
TESCO EXTRA,G
TF VALUE-MART,G
THAI,M
THE STORE,G
THIGH,M
TIGAS ALLIANCE,G
TIME,T
TIMEDOTCOM,T
TIRAMISU,M
TISSUE,G
TISSUES,G
TLC GROUP,G
TM,T
TMG MART,G
TNB,A
TNG,F
TOASATED,M
TOAST,M
TOASTED,M
TOFU,M
TOLL,F
TOLLS,F
TOMATE,G
TOMATES,G
TOMATO,G
TOMATOES,G
TONG HING SUPERMARKET,G
TONGKAT ALI,G
TOOL,G
TOOLS,G
TOPPINGS,M
TOPS,G
TOUCH & GO,F
TOUCH AND GO,F
TOUCH N GO,F
TRADING,G
TRAIN,F
TRAINS,F
TRAMWAYS,F
TRANSIT,F
TRANSITS,F
TRANSMISSION,T
TRAVEL,A
TRAVELOKA,A
TRAVELS,A
TRIP,A
TRIPS,A
TRIVAGO,A
TROLLEY,F
TROLLEYS,F
TT DOTCOM,T
TUNE,T
TUNE TALK,T
TV,T
TWIST,M
TWISTS,M
U MOBILE,T
U MOBILE,T
UBER,F
UHF,T
ULAM,M
UMOBILE,T
UNIFI,T
UNLIMITED,T
UO SUPERSTORE,G
UPLOAD,T
UPLOADS,T
USAGE,A
VACATION HOME,A
VACATION HOMES,A
VALUE,G
VALUES,G
VANILLA,M
VEGETABLE,G
VEGETABLES,G
VIEWQWEST,T
VILLA,A
VILLAGE,A
VILLAGE GROCER,G
VILLAGES,A
VILLAS,A
VINE,G
VINEGAR,G
VITACARE,G
VITAMIN,M
VITAMIN,G
VITAMINS,M
VOICE,T
VOLTE,T
WAFER,M
WAFERS,M
WAFFLE,M
WALNUT,M
WALNUTS,M
WANTAN MEE,M
WARM,M
WATER,M
WATER,A
WATER TAXI,F
WATSON,G
WATSONS,G
WAWASAN,F
WESTSTAR AVIATION,F
WET,G
WET TISSUE,G
WHITE COFFEE,M
WHOLEGRAIN,M
WHOLEMEAL,M
WHOLEMILK,M
WHOLESOME,M
WHOLEWHEAT,M
WIFI,T
WILAYAH PARKING,F
WILD,M
WILDS,M
WINE,M
WIRELESS,T
WONTON,M
WONTON NOODLES,M
WRAPPED,M
XMT TECHNOLOGIES,T
XOX,T
XP LITE,T
XPAX,T
YES,T
YOGHURT,M
YOGURT,M
YOLK,M
YOLKS,M
YONG TAU FOO,M
YTL,T
YUSHENG,M
ZINGER,M
